NIK,Kepala_Keluarga,Alamat_Email,Usia,Tingkat_Pendidikan,Pekerjaan,Jumlah_Tanggungan,Lokasi,Pengalaman_Kerja,Status_Pernikahan,Status_Pekerjaan,Jumlah_Anggota_Rumah_Tangga,Status_Kepemilikan_Rumah,Jenis_Perkonomian,Jenis_Kelamin,Transportasi_Utama,Pendapatan
5287357533487145,Uli Langgeng Gandi,uli.langgeng31@icloud.com,,SMA,Keuangan,3.0,Urban,31.0,Lajang,Part-time,,Milik Sendiri,Rumah Tinggal,Laki-Laki,Bersepeda,75124.0
6614067227753442,Hana Langgeng Safitri,hana.langgeng43@icloud.com,40.0,SMA,Keuangan,5.0,Urban,19.0,Lajang,Full-time,2.0,Milik Sendiri,Rumah Susun,Perempuan,Bersepeda,72678.0
3393045411796906,Zani Taufik Laksana,zani.taufik91.@outlook.com,65.0,Sarjana,Kesehatan,2.0,Urban,13.0,Lajang,Full-time,2.0,Sewa,Rumah Tinggal,Perempuan,Bersepeda,224095.0
5615881970322210,Jali Gusti Eka Putra,jali.gusti@outlook.com,49.0,SMA,Kesehatan,5.0,Urban,3.0,Menikah,Full-time,7.0,Sewa,Apartemen,Laki-Laki,Transportasi Umum,34972.0
7351107714091610,Lia Ajeng Abdurrahman,lia.ajeng@icloud.com,56.0,Magister,Pendidikan,,Urban,24.0,Menikah,Part-time,1.0,Milik Sendiri,Apartemen,Perempuan,Jalan Kaki,2191383.0
9310493712533294,Dila Vicky Utomo,dila.vicky@hotmail.com,68.0,SMA,Kesehatan,5.0,Urban,21.0,Menikah,Self-employed,7.0,Milik Sendiri,Rumah Susun,Perempuan,Transportasi Umum,70276.0
9289170031558850,Kartika Mahmud Purnama,kartika.mahmud81@outlook.com,61.0,Sarjana,Teknologi,3.0,Urban,43.0,Menikah,Part-time,2.0,Sewa,Rumah Tinggal,Laki-Laki,Mobil,1956590.0
6580512226870378,Hanif Jihan Baginda,hanif.jihan87@outlook.com,61.0,Sarjana,Pendidikan,0.0,,25.0,Menikah,Full-time,4.0,Sewa,Rumah Susun,Laki-Laki,Transportasi Umum,7570077.0
4895757070888602,Yani Eka Rahayu,yani.eka12@outlook.com,56.0,Sarjana,Kesehatan,0.0,Urban,48.0,Menikah,Self-employed,5.0,Milik Sendiri,Rumah Tinggal,Perempuan,,609165.0
7408094168891728,Ela Irfan Laksana,ela.irfan.@outlook.com,66.0,Sarjana,Pendidikan,1.0,Rural,50.0,Menikah,Part-time,7.0,Sewa,Apartemen,Laki-Laki,Jalan Kaki,77791.57173583041
6795016968025903,Faiz Widi Mulyadi,faiz.widi63_@icloud.com,51.0,Sarjana,Teknologi,1.0,Urban,33.0,Lajang,Self-employed,4.0,Milik Sendiri,Apartemen,Laki-Laki,Transportasi Umum,73726.0
9414632528177180,Putri Candra Hidayat,putri.candra26@gmail.com,26.0,Sarjana,Teknologi,1.0,Suburban,36.0,Menikah,Self-employed,7.0,Sewa,Rumah Tinggal,Laki-Laki,Transportasi Umum,70802.0
8091228078584883,Zani Gendis Utomo,zani.gendis@outlook.com,47.0,Magister,Kesehatan,1.0,Urban,,Lajang,Part-time,6.0,Milik Sendiri,Apartemen,Laki-Laki,Transportasi Umum,70282.0
8961956410104566,Ela Candra Lesmana,ela.candra84@hotmail.com,27.0,Sarjana,Keuangan,5.0,Urban,7.0,Lajang,Part-time,1.0,Milik Sendiri,Rumah Susun,Perempuan,Bersepeda,66606.0
6875017104326134,Tegar Dwi Ibrahim,tegar.dwi@outlook.com,52.0,SMA,Kesehatan,2.0,Urban,32.0,Bercerai,Part-time,3.0,Sewa,Rumah Tinggal,Laki-Laki,Transportasi Umum,95819.54905564502
5835157272166986,Vina Oktaviani Eka Putra,vina.oktaviani88@icloud.com,27.0,Sarjana,Keuangan,1.0,Rural,34.0,Menikah,Full-time,7.0,Milik Sendiri,Rumah Tinggal,Perempuan,Bersepeda,65436.0
6027308190912316,Cahya Joko Safitri,cahya.joko@outlook.com,53.0,Magister,Lainnya,5.0,Urban,22.0,Menikah,Full-time,4.0,Milik Sendiri,Apartemen,Laki-Laki,Transportasi Umum,67594.0
7430814635102381,Vina Joko Firmansyah,vina.joko@gmail.com,24.0,SMA,Keuangan,1.0,Suburban,41.0,Menikah,Part-time,4.0,Sewa,Rumah Tinggal,Laki-Laki,Bersepeda,75006.0
2200257328185622,Hanif Vicky Purnama,hanif.vicky11@gmail.com,20.0,Sarjana,Pendidikan,1.0,Urban,22.0,Menikah,Part-time,4.0,,Rumah Tinggal,Laki-Laki,Transportasi Umum,66642.0
